"province","health_sector","vaccination_date","total_number_vaccines_administered"
"KwaZulu-Natal","Public Health","2021-06-23",21598
"Mpumalanga","Public Health","2021-05-25",2
"Limpopo","Public Health","2021-06-14",1
"Limpopo","Private Health","2021-08-26",1693
"Gauteng","Private Health","2021-06-25",1029
"Limpopo","Public Health","2021-11-02",5568
"Eastern Cape","Private Health","2021-02-26",92
"Gauteng","Public Health","2021-10-22",3739
"Free State","Private Health","2021-10-15",479
"Gauteng","Private Health","2021-07-20",3015
"North West","Private Health","2021-09-14",659
"Free State","Private Health","2021-10-02",417
"Gauteng","Private Health","2021-07-02",2027
"Free State","Public Health","2021-11-21",9
"Northern Cape","Private Health","2021-03-05",20
"Gauteng","Public Health","2021-07-04",17
"Free State","Public Health","2021-09-13",1952
"North West","Public Health","2021-11-23",2720
"Western Cape","Private Health","2021-07-19",753
"Mpumalanga","Private Health","2021-08-13",302
"Free State","Private Health","2021-10-20",465
"KwaZulu-Natal","Public Health","2021-07-16",345
"Eastern Cape","Public Health","2021-10-06",6281
"KwaZulu-Natal","Public Health","2021-11-18",3696
"Eastern Cape","Public Health","2021-12-07",2876
"Limpopo","Public Health","2021-02-24",1030
"Northern Cape","Public Health","2021-11-12",1417
"Gauteng","Private Health","2021-05-14",4948
"Western Cape","Public Health","2021-02-24",1532
"Free State","Private Health","2021-12-07",214
"Free State","Private Health","2021-10-04",363
"Free State","Public Health","2021-07-06",9
"KwaZulu-Natal","Public Health","2021-04-28",1045
"Mpumalanga","Public Health","2021-08-14",1416
"North West","Private Health","2021-09-20",461
"Western Cape","Private Health","2021-03-24",728
"Eastern Cape","Private Health","2021-07-11",3
"Western Cape","Private Health","2021-10-08",687
"Mpumalanga","Public Health","2021-11-03",4579
"Northern Cape","Public Health","2021-07-14",860
"Free State","Public Health","2021-06-06",2
"Gauteng","Public Health","2021-07-20",4090
"Eastern Cape","Private Health","2021-05-11",159
"Mpumalanga","Public Health","2021-11-10",3963
"Limpopo","Public Health","2021-10-21",12965
"Western Cape","Public Health","2021-09-22",2545
"Western Cape","Private Health","2021-10-14",920
"Northern Cape","Private Health","2021-10-09",49
"Gauteng","Public Health","2021-08-03",15285
"Western Cape","Private Health","2021-09-07",1638
"Gauteng","Public Health","2021-02-19",1012
"Northern Cape","Public Health","2021-05-11",353
"Eastern Cape","Public Health","2021-12-11",385
"Free State","Public Health","2021-10-02",4151
"Free State","Public Health","2021-05-21",2
"Eastern Cape","Public Health","2021-07-07",2092
"Northern Cape","Private Health","2021-07-08",357
"North West","Private Health","2021-09-10",642
"North West","Private Health","2021-08-31",615
"Gauteng","Public Health","2021-11-18",3941
"Free State","Private Health","2021-09-15",487
"North West","Public Health","2021-03-01",221
"Gauteng","Public Health","2021-08-12",11004
"Free State","Public Health","2021-07-15",138
"North West","Public Health","2021-08-12",2011
"Free State","Public Health","2021-12-01",3192
"Western Cape","Private Health","2021-10-04",655
"Free State","Public Health","2021-09-10",2807
"Limpopo","Public Health","2021-08-16",4223
"Gauteng","Public Health","2021-05-06",1692
"Mpumalanga","Private Health","2021-12-01",425
"Western Cape","Public Health","2021-05-28",151
"Gauteng","Private Health","2021-12-08",1357
"Eastern Cape","Public Health","2021-03-31",1393
"Western Cape","Private Health","2021-11-20",161
"Limpopo","Public Health","2021-09-18",481
"Limpopo","Public Health","2021-11-05",4242
"Mpumalanga","Public Health","2021-05-08",31
"Western Cape","Private Health","2021-07-31",21
"Western Cape","Public Health","2021-11-24",2552
"KwaZulu-Natal","Public Health","2021-05-17",46
"KwaZulu-Natal","Private Health","2021-07-28",939
"Eastern Cape","Private Health","2021-03-15",104
"Northern Cape","Public Health","2021-09-30",263
"North West","Public Health","2021-03-10",233
"Western Cape","Private Health","2021-10-28",566
"Gauteng","Public Health","2021-11-09",3684
"KwaZulu-Natal","Public Health","2021-07-09",6317
"Eastern Cape","Private Health","2021-10-13",468
"Western Cape","Public Health","2021-06-26",3
"Free State","Public Health","2021-12-07",2489
"Gauteng","Public Health","2021-11-03",4119
"Gauteng","Private Health","2021-12-11",699
"North West","Public Health","2021-07-20",2988
"Western Cape","Private Health","2021-07-11",1
"Northern Cape","Public Health","2021-05-03",40
"KwaZulu-Natal","Public Health","2021-07-18",471
"Eastern Cape","Public Health","2021-05-05",1384
"KwaZulu-Natal","Private Health","2021-08-14",5
"Free State","Private Health","2021-11-20",5
"KwaZulu-Natal","Public Health","2021-09-08",4125
"KwaZulu-Natal","Private Health","2021-11-10",109
"Free State","Private Health","2021-09-17",534
"Gauteng","Public Health","2021-11-19",4102
"Free State","Private Health","2021-11-17",135
"North West","Public Health","2021-04-29",316
"Northern Cape","Public Health","2021-10-11",520
"Eastern Cape","Private Health","2021-08-04",571
"Gauteng","Private Health","2021-06-21",28
"Limpopo","Private Health","2021-09-02",1242
"Gauteng","Public Health","2021-09-23",3875
"Mpumalanga","Public Health","2021-08-01",21
"Gauteng","Public Health","2021-11-20",2042
"Free State","Public Health","2021-09-09",3274
"Eastern Cape","Public Health","2021-03-05",356
"Gauteng","Public Health","2021-03-10",2130
"KwaZulu-Natal","Public Health","2021-12-07",3599
"Free State","Private Health","2021-09-23",331
"Gauteng","Private Health","2021-04-22",1
"Limpopo","Public Health","2021-07-26",4358
"Free State","Public Health","2021-07-17",1
"Eastern Cape","Private Health","2021-09-22",457
"Mpumalanga","Public Health","2021-08-11",3602
"Free State","Public Health","2021-09-22",4514
"Northern Cape","Public Health","2021-08-28",539
"Eastern Cape","Public Health","2021-11-02",4934
"KwaZulu-Natal","Private Health","2021-11-28",13
"Mpumalanga","Public Health","2021-04-08",428
"North West","Public Health","2021-09-03",5015
"Gauteng","Private Health","2021-11-28",90
"Mpumalanga","Public Health","2021-05-15",168
"North West","Private Health","2021-12-03",184
"Western Cape","Private Health","2021-03-21",1
"Mpumalanga","Public Health","2021-11-20",1321
"Eastern Cape","Private Health","2021-11-13",93
"Northern Cape","Public Health","2021-11-03",1085
"Free State","Private Health","2021-06-25",2
"Western Cape","Private Health","2021-08-28",101
"Free State","Private Health","2021-12-03",254
"Northern Cape","Public Health","2021-09-08",1298
"Northern Cape","Public Health","2021-05-02",10
"KwaZulu-Natal","Public Health","2021-05-25",7
"KwaZulu-Natal","Public Health","2021-06-28",6710
"KwaZulu-Natal","Private Health","2021-07-21",828
"Eastern Cape","Public Health","2021-05-13",2729
"Eastern Cape","Public Health","2021-02-17",5
"Gauteng","Private Health","2021-08-29",303
"Mpumalanga","Private Health","2021-08-16",280
"Mpumalanga","Public Health","2021-06-17",6
"Eastern Cape","Private Health","2021-08-19",935
"Gauteng","Public Health","2021-03-05",1671
"Gauteng","Public Health","2021-08-01",913
"Limpopo","Public Health","2021-02-27",566
"Free State","Public Health","2021-11-29",2960
"KwaZulu-Natal","Public Health","2021-10-15",6248
"Western Cape","Private Health","2021-09-27",835
"KwaZulu-Natal","Private Health","2021-05-11",1199
"North West","Private Health","2021-10-16",49
"North West","Public Health","2021-08-02",1708
"Eastern Cape","Private Health","2021-11-12",436
"Gauteng","Private Health","2021-08-03",809
"KwaZulu-Natal","Private Health","2021-09-24",59
"Western Cape","Public Health","2021-07-03",20
"KwaZulu-Natal","Public Health","2021-08-19",8984
"North West","Public Health","2021-04-13",353
"Western Cape","Private Health","2021-11-26",387
"Free State","Public Health","2021-10-30",770
"Free State","Public Health","2021-04-28",120
"Mpumalanga","Private Health","2021-09-30",504
"Mpumalanga","Private Health","2021-11-20",86
"Free State","Private Health","2021-12-15",174
"Gauteng","Private Health","2021-07-03",20
"Gauteng","Private Health","2021-07-18",7
"Northern Cape","Private Health","2021-05-09",38
"Western Cape","Public Health","2021-10-12",3845
"Mpumalanga","Private Health","2021-07-23",2
"North West","Public Health","2021-03-09",369
"Limpopo","Private Health","2021-10-05",1340
"Northern Cape","Private Health","2021-09-13",57
"Mpumalanga","Private Health","2021-09-04",173
"Gauteng","Private Health","2021-04-29",1773
"Eastern Cape","Public Health","2021-05-31",2
"Limpopo","Private Health","2021-11-27",194
"North West","Public Health","2021-03-31",430
"North West","Public Health","2021-11-11",2952
"Gauteng","Private Health","2021-06-20",5
"Western Cape","Public Health","2021-03-26",1880
"Northern Cape","Public Health","2021-03-30",138
"Limpopo","Public Health","2021-10-31",23
"KwaZulu-Natal","Public Health","2021-05-06",1920
"Eastern Cape","Private Health","2021-10-05",246
"Eastern Cape","Private Health","2021-12-06",516
"Western Cape","Public Health","2021-03-31",2184
"KwaZulu-Natal","Public Health","2021-11-07",1338
"Free State","Private Health","2021-11-01",9
"Mpumalanga","Public Health","2021-03-22",1
"Eastern Cape","Public Health","2021-11-04",6070
"KwaZulu-Natal","Public Health","2021-08-25",13205
"Northern Cape","Private Health","2021-08-27",114
"Western Cape","Private Health","2021-11-01",105
"Western Cape","Public Health","2021-12-13",1627
"Northern Cape","Private Health","2021-09-03",43
"Western Cape","Public Health","2021-03-18",796
"Western Cape","Private Health","2021-09-26",2
"Eastern Cape","Public Health","2021-08-26",6638
"Free State","Public Health","2021-06-11",3
"Northern Cape","Public Health","2021-11-08",521
"Free State","Private Health","2021-09-29",278
"North West","Public Health","2021-09-12",432
"North West","Private Health","2021-06-30",1
"Eastern Cape","Public Health","2021-09-26",326
"Limpopo","Private Health","2021-11-19",697
"Mpumalanga","Private Health","2021-03-12",332
"Western Cape","Private Health","2021-03-25",769
"Limpopo","Public Health","2021-09-26",31
"Northern Cape","Public Health","2021-07-23",1830
"Northern Cape","Public Health","2021-06-29",1043
"Northern Cape","Public Health","2021-08-10",1817
"KwaZulu-Natal","Private Health","2021-04-29",1431
"Mpumalanga","Private Health","2021-03-23",55
"Gauteng","Public Health","2021-10-04",4530
"North West","Private Health","2021-09-04",64
"Western Cape","Private Health","2021-03-05",217
"Eastern Cape","Public Health","2021-07-24",1325
"Eastern Cape","Public Health","2021-05-15",120
"KwaZulu-Natal","Public Health","2021-06-21",12
"Free State","Private Health","2021-09-22",349
"Mpumalanga","Private Health","2021-06-03",8
"KwaZulu-Natal","Private Health","2021-07-15",7
"Eastern Cape","Private Health","2021-09-29",187
"Free State","Public Health","2021-07-10",1
"North West","Public Health","2021-11-12",2794
"North West","Private Health","2021-10-31",9
"Free State","Public Health","2021-09-03",3252
"Northern Cape","Private Health","2021-10-20",257
"Gauteng","Private Health","2021-11-13",585
"Western Cape","Private Health","2021-11-08",523
"Eastern Cape","Public Health","2021-12-01",4416
"Eastern Cape","Private Health","2021-10-30",35
"Eastern Cape","Private Health","2021-02-23",119
"Gauteng","Private Health","2021-11-14",147
"KwaZulu-Natal","Public Health","2021-02-26",1595
"Mpumalanga","Public Health","2021-11-19",3501
"Free State","Public Health","2021-08-20",2221
"KwaZulu-Natal","Public Health","2021-09-14",6043
"Western Cape","Private Health","2021-07-07",872
"North West","Public Health","2021-09-25",2203
"Limpopo","Public Health","2021-03-08",1
"Western Cape","Public Health","2021-05-11",2794
"Eastern Cape","Private Health","2021-03-11",326
"North West","Public Health","2021-03-12",211
"North West","Public Health","2021-05-02",26
"Eastern Cape","Public Health","2021-08-14",679
"Free State","Public Health","2021-03-08",270
"Gauteng","Public Health","2021-05-26",107
"Northern Cape","Public Health","2021-12-10",942
"Western Cape","Public Health","2021-04-09",305
"Limpopo","Private Health","2021-09-03",1399
"Gauteng","Public Health","2021-06-20",5
"Eastern Cape","Public Health","2021-02-19",233
"Northern Cape","Private Health","2021-10-11",167
"Eastern Cape","Public Health","2021-07-05",1563
"Mpumalanga","Public Health","2021-05-19",1
"Gauteng","Public Health","2021-10-20",5602
"Western Cape","Public Health","2021-11-02",3242
"Limpopo","Private Health","2021-07-28",415
"Western Cape","Private Health","2021-11-05",607
"Gauteng","Public Health","2021-03-15",697
"Limpopo","Private Health","2021-10-18",1426
"Western Cape","Public Health","2021-05-24",43
"KwaZulu-Natal","Public Health","2021-09-01",6606
"Limpopo","Private Health","2021-08-09",14
"North West","Public Health","2021-10-05",5775
"Western Cape","Private Health","2021-09-08",1426
"Free State","Public Health","2021-11-16",2727
"Gauteng","Public Health","2021-05-28",102
"Western Cape","Private Health","2021-10-20",1132
"Limpopo","Public Health","2021-10-07",9175
"KwaZulu-Natal","Private Health","2021-05-07",1898
"Limpopo","Public Health","2021-02-19",75
"Western Cape","Public Health","2021-11-29",2121
"Gauteng","Public Health","2021-08-30",5524
"Northern Cape","Private Health","2021-10-08",123
"Limpopo","Public Health","2021-08-31",2758
"KwaZulu-Natal","Private Health","2021-03-16",959
"Limpopo","Public Health","2021-04-30",844
"Northern Cape","Public Health","2021-08-13",1316
"KwaZulu-Natal","Private Health","2021-08-17",373
"Northern Cape","Private Health","2021-09-27",41
"Eastern Cape","Private Health","2021-05-12",1
"Limpopo","Public Health","2021-06-17",2
"Gauteng","Private Health","2021-10-18",3288
"Gauteng","Private Health","2021-09-28",2265
"Gauteng","Private Health","2021-10-24",143
"Eastern Cape","Public Health","2021-10-13",7159
"Western Cape","Private Health","2021-11-06",174
"Gauteng","Private Health","2021-10-26",1531
"Gauteng","Private Health","2021-10-03",372
"Mpumalanga","Public Health","2021-12-10",2941
"Western Cape","Public Health","2021-07-30",4796
"Free State","Private Health","2021-09-07",312
"Northern Cape","Private Health","2021-07-19",314
"Gauteng","Public Health","2021-09-03",4676
"Western Cape","Public Health","2021-07-29",7037
"Gauteng","Public Health","2021-11-12",5412
"Eastern Cape","Public Health","2021-08-01",466
"Gauteng","Public Health","2021-10-29",3620
"North West","Private Health","2021-11-05",292
"Eastern Cape","Public Health","2021-11-22",4189
"Gauteng","Private Health","2021-10-05",2059
"KwaZulu-Natal","Public Health","2021-08-13",7882
"KwaZulu-Natal","Public Health","2021-08-18",8701
"Northern Cape","Private Health","2021-09-23",68
"Northern Cape","Public Health","2021-08-23",772
"Limpopo","Public Health","2021-06-30",20
"Mpumalanga","Public Health","2021-02-21",1181
"Free State","Private Health","2021-11-02",255
"Western Cape","Private Health","2021-07-21",969
"KwaZulu-Natal","Public Health","2021-07-10",177
"KwaZulu-Natal","Private Health","2021-09-11",238
"Northern Cape","Private Health","2021-07-15",4
"Northern Cape","Public Health","2021-02-26",376
"Limpopo","Private Health","2021-07-23",223
"Mpumalanga","Private Health","2021-03-10",262
"Northern Cape","Private Health","2021-11-30",232
"Free State","Public Health","2021-07-02",3736
